table_name,table_description,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",create_datetime,5,timestamp without time zone,,NO,,"When the container record was created in this service. For containers migrated from NOMIS this is the migration run, not the original prison event.",NONE,N,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",created_by_user_id,6,character varying,32,NO,,DPS username of the member of staff who created the container. Identifies a member of staff.,STAFF,N,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",proposed_disposal_date,7,date,,YES,,"Date the container is proposed for disposal. Disposal status is derived by comparing this with today rather than being stored, so a container becomes DISPOSAL_REQUIRED without anything writing to it.",NONE,N,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",current_seal_number,9,character varying,60,YES,,Seal number currently on the container. Stored rather than derived because uniqueness across containers in storage is checked in SQL. Freed for re-use once the container leaves active storage.,NONE,N,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",removal_outcome,10,character varying,20,YES,,"Why the container left active storage: DISPOSED, RETURNED, TRANSFERRED, COMBINED, CREATED_IN_ERROR or REMOVED. Null while the container is in active storage. All are terminal except REMOVED, which a REACTIVATED event reverses - which is why there is no archived flag.",NONE,N,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",removal_date,11,date,,YES,,Date the container left active storage. Null while it is still held.,NONE,N,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",current_status,13,character varying,40,NO,,"Denormalised mirror of the derived status, excluding the time-based disposal overlay so the column stays stable over time. One of STORED, DUE_FOR_TRANSFER_OUT, DUE_FOR_RETURN, DISPOSAL_REQUIRED, DISPOSED, RETURNED, TRANSFER, COMBINED, CREATED_IN_ERROR, REMOVED. Read the events, not this column, if you need the authoritative status.",NONE,N,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",current_internal_location_id,14,uuid,,YES,,"Denormalised mirror of the container's current storage location - a location UUID in hmpps-locations-inside-prison-api. Null when the container is offsite at Branston, has no recorded location, or has left active storage. This is where the property is kept, not where the prisoner is.",NONE,N,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",current_storage_location_type,15,character varying,20,YES,,"Denormalised mirror of where the container is stored: INTERNAL (a location within the prison) or BRANSTON (the offsite warehouse, which has no internal location id).",NONE,N,
property_container,"A sealed container of one prisoner's property. The record is event-sourced: its history lives in property_event and its current status and location are derived from the most recent relevant event. Five values are mirrored into columns here (seal number, status, internal location, storage location type, receiving prison) so the establishment-wide list can filter and page in SQL; the derivation stays authoritative and every write refreshes the mirrors.",receiving_prison_id,16,character varying,6,YES,,"Agency code of the prison this container is due to be transferred in to, denormalised so the establishment list can surface incoming property. Set only while the container is due for transfer out, or transferred but not yet reconciled with the receiving prison's record. Indicates where the owning prisoner has moved to.",PERSONAL,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",id,1,uuid,,NO,,Primary key. Time-ordered UUID v7.,NONE,Y,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",property_container_id,2,uuid,,NO,,Foreign key to property_container - the container this event happened to.,NONE,N,property_container
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",event_type,3,character varying,30,NO,,"What happened. One of CREATED_SEALED, SEAL_CHANGED, CONTAINER_TYPE_CHANGE, MOVED, TRANSFERRED, RETURNED, DISPOSAL_REQUIRED, DISPOSED, COMBINED, CREATED_IN_ERROR, REMOVED, REACTIVATED, or the four driven by prisoner movements - PRISONER_TRANSFERRED_OUT, PRISONER_RECEIVED, PRISONER_RELEASED, DIED_IN_CUSTODY. Each type implies a status.",NONE,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",seal_number,4,character varying,60,YES,,"Seal number recorded by this event, on the event types that carry one (creation and reseal). Null on events that do not change the seal.",NONE,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",event_datetime,5,timestamp without time zone,,NO,,When the event happened. Events are ordered by this; where two share a timestamp the later-appended one wins.,NONE,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",from_internal_location_id,6,uuid,,YES,,Storage location the container moved from - a location UUID in hmpps-locations-inside-prison-api. Null when the event does not move it.,NONE,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",to_internal_location_id,7,uuid,,YES,,"Storage location the container moved to - a location UUID in hmpps-locations-inside-prison-api. Null when the event does not move it, or when it moved offsite to Branston (which has no internal location id).",NONE,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",from_prison_id,8,character varying,6,YES,,Agency code the container was held at before this event. Set on events that move it between prisons. Indicates the prisoner's previous establishment.,PERSONAL,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",to_prison_id,9,character varying,6,YES,,"Agency code the container is going to. Set on a transfer out, and on the PRISONER_RECEIVED that flags property as due to follow its owner - so it indicates where the prisoner has moved to.",PERSONAL,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",event_user_id,10,character varying,32,NO,,"DPS username of the member of staff who performed the action, or a reserved system user: PRISONER_PROPERTY_API for events raised by NOMIS sync or the prisoner movement listener, LEGACY_CLEANUP for closures written by a legacy clean-up job. Identifies a member of staff.",STAFF,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",event_date,11,date,,YES,,"The date the underlying prison activity happened, where it differs from when it was recorded (for example a disposal logged after the event). Null when the recorded timestamp is the date.",NONE,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",to_storage_location_type,12,character varying,20,YES,,"The kind of location the container moved to: INTERNAL or BRANSTON. Older events recorded an internal location id without an explicit type, and are read as INTERNAL.",NONE,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",related_container_id,13,uuid,,YES,,"The other container involved: the one this container was combined into, or the matching record at the other end of a transfer. Filled in later on a transfer out, once the receiving prison logs the arrival and the two records are reconciled.",NONE,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",container_type,14,character varying,20,NO,,"The container's type at the moment of the event, snapshotted so the history is a self-contained record. On a type change this holds the new type.",NONE,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",related_container_seal_number,15,character varying,60,YES,,"The related container's seal number as at this event, snapshotted so the history names it by the seal it had at the time rather than any later reseal.",NONE,N,
property_event,"One thing that happened to a container, in an ordered history. This is the authoritative record: the container's current seal, status and location are derived from the most recent relevant event, and the columns on property_container are mirrors of that derivation. Events are appended, never amended, so this table is also the audit trail.",legacy_cleanup_job_id,16,uuid,,YES,,"Set on the RETURNED or TRANSFERRED event when the closure was written by a legacy clean-up job rather than by staff; null on every other event. A TRANSFERRED event carrying it records where the person went for the history, but is never treated as property awaiting arrival at that prison.",NONE,N,legacy_cleanup_job
